# Temperature (K) 	 M/H in emu (multiply by field in Oe)
7.534080505371090908e+01	1.164974700748937647e-12
7.550431823730470171e+01	6.975217062756868418e-13
7.566383743286129970e+01	9.042783057657761149e-13
7.581476974487300424e+01	1.162869483410655916e-12
7.598197174072269888e+01	4.780977714746533467e-13
7.614766311645509234e+01	1.123115511314953306e-12
7.631079101562500000e+01	8.603354136187466574e-13
7.647165298461909799e+01	9.708382849876090835e-13
7.663718795776370030e+01	8.498277407602937429e-13
7.679848480224609375e+01	2.474900404751228013e-13
7.696574401855470171e+01	1.031274739698503508e-12
7.713122940063479405e+01	1.133489569491412326e-12
7.729818344116209516e+01	1.076896216843769573e-12
7.745890808105470171e+01	7.969846075657289477e-13
7.762257766723629970e+01	1.214614417894407205e-12
7.778583145141600141e+01	1.172651011782182151e-12
7.795171737670899859e+01	1.035364556648341332e-12
7.812689208984379263e+01	8.215208400804415147e-13
7.830037307739259234e+01	1.036928276491989588e-12
7.847255325317379970e+01	6.892264303271935345e-13
7.863477706909179688e+01	1.066097494169592655e-12
7.879441070556640625e+01	1.076816503505486068e-12
7.894504547119140625e+01	4.450537225271894884e-13
7.910865020751950283e+01	7.745372726575052762e-13
7.927256393432620030e+01	4.580103406447057999e-13
7.943388748168949576e+01	8.995330911822255667e-13
7.959717178344729405e+01	8.267757259684512806e-13
7.976347732543941049e+01	8.746280457518298533e-13
7.993264770507809658e+01	8.941868259920313215e-13
8.010591888427730112e+01	3.976304797972014131e-13
8.026272201538090201e+01	7.689986649115163239e-13
8.043189239501950283e+01	1.242109142471830214e-12
8.059894943237300424e+01	5.910306945168550469e-13
8.077299499511720171e+01	1.331814604943682076e-12
8.094276428222659092e+01	6.251057144077190110e-13
8.111328125000000000e+01	8.462363897219607795e-13
8.128255844116209516e+01	8.373482252303469266e-13
8.144868087768550424e+01	9.933703154630847644e-13
8.161396789550779829e+01	3.422781080680074275e-13
8.176676177978519888e+01	7.975137291891863696e-13
8.193705368041990766e+01	3.260278150878571894e-13
8.209037017822269888e+01	6.659454107712983226e-13
8.225066375732420454e+01	8.405292842686988548e-13
8.241221618652340908e+01	3.628684848081563602e-13
8.257386398315429688e+01	2.895557368578950347e-13
8.274144363403320312e+01	2.925940247210860160e-13
8.290436553955079546e+01	6.464118161871646541e-13
8.306941604614259234e+01	6.068969955746010438e-13
8.323469161987300424e+01	8.342587568022963483e-13
8.340061187744140625e+01	1.706568457247461171e-14
8.356667709350590201e+01	8.069564428107400431e-13
8.373059844970700283e+01	8.907002222498858450e-13
8.389902877807620030e+01	4.085548333435527541e-13
8.405731201171870737e+01	1.020219632070849993e-12
8.422789001464840908e+01	5.348878055104423729e-13
8.439776992797850141e+01	5.045397780663684870e-13
8.457306671142579546e+01	5.845218978880248336e-13
8.474232864379879970e+01	4.662505734465388418e-13
8.490017700195309658e+01	7.611944668292239789e-13
8.506850051879879970e+01	7.579416032485231637e-13
8.522150802612300424e+01	4.062554298565208224e-13
8.538792800903320312e+01	5.200087570706525415e-13
8.555175781250000000e+01	3.746751075372804686e-13
8.572301101684570312e+01	-1.828195577166755585e-14
8.588805007934570312e+01	2.218466151220264952e-14
8.605027008056640625e+01	5.759237741111539329e-13
8.621625137329100141e+01	5.269289185539347075e-13
8.638448715209959516e+01	3.617017970899019078e-13
8.655183029174800424e+01	5.282644144065463345e-13
8.672488403320308237e+01	8.785227482053076131e-13
8.689296722412109375e+01	5.836956413295795964e-13
8.705482864379878549e+01	6.000944768620975375e-13
8.721883392333980112e+01	3.378812551085264373e-13
8.739326858520509234e+01	4.664024406213489822e-13
8.757668685913090201e+01	3.824403819386382624e-13
8.775344085693359375e+01	1.850320744630470765e-13
8.791239166259769888e+01	5.736780212969097073e-13
8.808063888549800424e+01	4.921409549570454228e-13
8.822699737548829546e+01	4.099414726244003506e-13
8.838505935668949576e+01	5.829757532557710530e-13
8.854603576660160513e+01	3.591545936310774547e-13
8.870748901367191763e+01	2.127954497460390031e-13
8.887838363647459516e+01	8.510439597209323850e-13
8.904044342041019888e+01	3.306213703435105308e-13
8.920955657958980112e+01	6.873800364287077730e-13
8.937807083129878549e+01	2.988341072950910531e-13
8.954558563232420454e+01	6.199497246803158389e-13
8.971868896484379263e+01	8.606266786006536314e-13
8.988260650634769888e+01	1.697780097056134446e-14
9.005206298828129263e+01	5.475155602442054391e-14
9.021157455444340201e+01	-2.236069949751552087e-13
9.038227462768550424e+01	-1.651332393957702569e-13
9.055617141723628549e+01	-5.244735289974733735e-14
9.071032714843750000e+01	2.967293121852502501e-13
9.087951278686519174e+01	3.483914784208711434e-13
9.104696273803709516e+01	7.187597399708377740e-13
9.119719696044920454e+01	-3.371233427785006478e-13
9.136663818359379263e+01	1.791335263019241284e-13
9.154003143310551138e+01	9.802063531618402190e-14
