#  temperature dependence of magnetization of quartz holder at 2T
#   temperature (K) 	 M/H (emu)
2.102467727661130255e+02	5.517146696641670186e-09
2.107248992919919885e+02	-1.350671149832399854e-08
2.112276458740230112e+02	-7.737877692745421148e-09
2.117406845092770027e+02	-1.426469266680270125e-08
2.122369384765620168e+02	-2.488333540115770172e-08
2.127320251464840055e+02	-1.583334147274020160e-08
2.132263717651369745e+02	-3.584630532485240101e-09
2.137415008544919885e+02	-7.935100955042120288e-09
2.142555389404300001e+02	-4.934611188614510017e-08
2.147376556396480112e+02	-1.417360883433830153e-08
2.152304458618159799e+02	-2.489539300221990308e-08
2.157281341552730112e+02	-1.676853839870980130e-08
2.162287597656250000e+02	-1.052333383488630084e-08
2.167238235473630255e+02	-1.662600446992959838e-08
2.172082519531250000e+02	-6.475429428915869779e-09
2.177298965454100141e+02	-1.675559572155540011e-08
2.182327651977539915e+02	-9.594507258571121577e-09
2.187083816528320028e+02	-2.757889951614459791e-08
2.192095108032229973e+02	-3.192076452527840076e-09
2.197191009521480112e+02	5.734785654819010385e-09
2.202115402221679972e+02	-2.201260871589439722e-08
2.207210464477539915e+02	-2.066067125537280024e-08
2.212000198364260086e+02	-1.426185614720860150e-08
2.217111587524409799e+02	4.529097143411699904e-09
2.222054290771480112e+02	-1.003985151179859974e-08
2.227019195556639772e+02	-1.511476873540939915e-08
2.232004623413090201e+02	-6.151027417352989046e-09
2.236980590820309942e+02	-9.096560507958710842e-09
2.242017135620119745e+02	-1.760875421011439738e-08
2.247115249633789915e+02	-2.964310965242990147e-08
2.252099151611330115e+02	-2.441978181859259774e-08
2.257007217407229973e+02	-1.680402196045350062e-08
2.261968688964840055e+02	-5.027238609967350265e-09
2.266878662109379832e+02	-4.916518199909520235e-09
2.271957778930659799e+02	-1.215300440107350121e-08
2.277015533447269888e+02	-1.050996911951790017e-08
2.281955413818360228e+02	-5.595359915011880107e-09
2.286823501586909799e+02	-2.507595614956580042e-08
2.291773529052730112e+02	-1.662119987615040062e-08
2.296790618896480112e+02	-2.231703441257099958e-08
2.301759490966800001e+02	-1.654298878674590079e-08
2.306631622314449999e+02	-1.676853502384509926e-08
2.311535339355469887e+02	-2.434308838393620219e-08
2.316547775268550140e+02	-1.586833044463289865e-08
2.321631546020510086e+02	-1.642178364116889845e-08
2.326606903076169885e+02	-1.230348062712399879e-08
2.331668701171870168e+02	-2.319797126926499869e-08
2.336659088134769888e+02	-6.565785175840699682e-09
2.341611633300780113e+02	-1.210893132832409921e-08
2.346643753051760086e+02	-1.882165095688679655e-08
2.351797637939449999e+02	-1.639739204173220198e-08
2.356823577880860228e+02	-2.261740265008829998e-08
2.361927947998050001e+02	-1.777616374406889820e-08
2.366766433715820028e+02	-1.588039152755010195e-08
2.371497650146480112e+02	-1.212488066302929924e-08
2.376474151611330115e+02	-2.134114208659610028e-08
2.381623229980469887e+02	-2.205337229431170085e-08
2.386606521606449860e+02	-1.440976565771240065e-08
2.391540222167969887e+02	-1.591127132641160048e-08
2.396490173339840055e+02	-1.701371573676020062e-08
2.401730957031250000e+02	-7.876185417768248241e-09
2.406752090454100141e+02	-1.598013256710870223e-08
2.411514511108399859e+02	-1.946310855277220087e-08
2.416408767700200144e+02	-2.398683690593990220e-08
2.421426620483399859e+02	-2.136638482342359877e-08
2.426388931274409799e+02	-1.824581640413069954e-08
2.431428298950200144e+02	-1.973436401504769924e-08
2.436300506591800001e+02	-1.909921502304019965e-08
2.441293334960940058e+02	-1.791084899592330211e-08
2.446238861083980112e+02	-2.692014529688549675e-08
2.451150817871090055e+02	-3.646103263409259820e-08
2.456217269897460085e+02	-8.561446442005299532e-10
2.461343002319340201e+02	-3.580890285161500351e-09
2.466417388916019888e+02	-1.878427540099009856e-08
2.471522140502929972e+02	-1.647765624904839901e-08
2.476234970092770027e+02	-1.712847940313370116e-08
2.481195526123050001e+02	-2.104504151242589973e-08
2.486310043334960085e+02	-1.536961976242899920e-08
2.491221618652340055e+02	-2.190864994300070000e-08
2.496187667846679972e+02	-2.360743031452970283e-08
2.501130447387700144e+02	-2.629621460495979970e-08
2.506175460815429972e+02	-2.086693076268180154e-08
2.511205749511719887e+02	-3.232222750464810115e-08
2.516017227172850141e+02	-1.077862508309500052e-08
2.521007156372070028e+02	-1.927528777071489924e-08
2.526016769409179972e+02	-3.022886549311540293e-08
2.530901260375979973e+02	-2.070679479270950024e-08
2.535910797119139772e+02	-1.782253765518510147e-08
2.540905227661130255e+02	-2.746338824171450039e-08
2.545904846191409945e+02	-2.732177949803270205e-08
2.551027603149409799e+02	-1.168554681449479904e-08
2.555894012451169885e+02	-9.955369664705269529e-09
2.560932922363280113e+02	-2.601244426238970156e-08
2.566000213623049717e+02	-2.459174283334549694e-08
2.571010742187500000e+02	-2.438801016708979845e-08
2.576122589111329830e+02	-2.341898043481350396e-08
2.580966186523440342e+02	-2.217255676646540025e-08
2.585997314453130116e+02	-2.078205351874580122e-08
2.590896606445309658e+02	-2.233674934843779872e-08
2.595752716064450283e+02	-3.262234908094880262e-08
2.600759887695309658e+02	-1.753591735886679875e-08
2.605777282714839771e+02	-3.589618881241199721e-08
2.610833282470700283e+02	-2.579820766335140115e-08
2.615993041992190342e+02	-2.758715837330660205e-08
2.620971527099609943e+02	-2.119629912399550147e-08
2.626046600341799717e+02	-2.736777280776819639e-08
2.630981903076170170e+02	-3.053683654012779535e-08
2.635771179199219887e+02	-1.366454976613009789e-08
2.640618438720700283e+02	-2.670811074211880236e-09
2.645608367919920170e+02	-3.175571578862380026e-08
2.650678558349609943e+02	-4.031921633571410500e-08
2.655688018798829830e+02	-3.483579764035919763e-08
2.660861968994140057e+02	-2.713572219290089747e-08
2.665864257812500000e+02	-2.088159229339149730e-08
2.670876770019530113e+02	-2.043346018786729811e-08
